Unnamed: 0,Landfill Name,State_x,County,State_y,"Age-Adjusted Incidence Rate - cases per 100,000",Average Annual Count,Recent Trend,Clean State
703,Bingham County Landfill-Ridge Road,ID,Bingham, Idaho,416.3,196,stable,ID
705,Bonneville County Landfill,ID,Bonneville, Idaho,440.4,480,stable,ID
706,Boundary County Landfill,ID,Boundary, Idaho,448,76,stable,ID
710,Clay Peak Landfill,ID,Payette, Idaho,481.6,138,stable,ID
711,Fighting Creek Farm Landfill,ID,Kootenai, Idaho,488.9,930,falling,ID
712,Fort Hall Mine Landfill,ID,Bannock, Idaho,371.9,322,falling,ID
713,Franklin County Sanitary Landfill,ID,Franklin, Idaho,364.1,50,stable,ID
717,Hub Butte Landfill,ID,Twin Falls, Idaho,413.7,384,falling,ID
719,Latah Sanitary Landfill,ID,Latah, Idaho,435.7,158,stable,ID
720,Lemhi County Landfill 1,ID,Lemhi, Idaho,446.3,67,stable,ID
722,Milner Butte Landfill,ID,Cassia, Idaho,365,90,stable,ID
725,Pickles Butte SLF,ID,Canyon, Idaho,462.6,952,stable,ID
728,Teton County Landfill,ID,Teton, Idaho,374,37,stable,ID
729,31st Street Landfill,IL,Cook, Illinois,448.9,25748,falling,IL
730,ADS/McLean County LF #2,IL,McLean, Illinois,451.5,769,falling,IL
731,Advanced Disposal Orchard Hills Landfill Inc.,IL,Ogle, Illinois,477.1,319,stable,IL
732,Advanced Disposal Valley View Landfill Inc.,IL,Macon, Illinois,545.2,786,stable,IL
736,Beecher Landfill,IL,Will, Illinois,491.9,3425,falling,IL
740,Bond County LF,IL,Bond, Illinois,486.9,108,stable,IL
741,Brickyard Disposal & Recycling Inc.,IL,Vermilion, Illinois,504.7,525,stable,IL
745,Clinton Landfill Inc.,IL,De Witt, Illinois,543.3,118,stable,IL
746,Coles County Landfill,IL,Coles, Illinois,444.2,268,falling,IL
753,Envirofil of Illinois Inc.,IL,McDonough, Illinois,503,179,stable,IL
754,Environtech LF,IL,Grundy, Illinois,559.8,302,stable,IL
756,Five Oaks RDF,IL,Christian, Illinois,551.7,256,stable,IL
757,Freeport Municipal Landfill #4,IL,Stephenson, Illinois,414.2,279,stable,IL
758,Greene Valley RDF,IL,DuPage, Illinois,461.2,4918,falling,IL
764,Indian Creek Landfill #2,IL,Tazewell, Illinois,501.3,870,falling,IL
765,Jerseyville Sanitation Landfill,IL,Jersey, Illinois,465.8,138,stable,IL
766,K & H Disposal Landfill,IL,Iroquois, Illinois,490.1,203,stable,IL
767,Kankakee County RDF,IL,Kankakee, Illinois,503.7,668,stable,IL
