,Landfill Name,State,County,Average Annual Count
496,Henderson County LF,NC,Henderson,836
497,Hertford County LF,NC,Hertford,128
498,Hoke County LF,NC,Hoke,205
499,Iredell County LF,NC,Iredell,952
500,Johnston County MSW LF,NC,Johnston,937
501,Jones County LF,NC,Jones,66
502,Lenoir County LF,NC,Lenoir,381
503,McDowell County LF,NC,McDowell,313
504,Mecklenburg County LF,NC,Mecklenburg,4274
505,Moore County LF,NC,Moore,699
506,Nash County LF,NC,Nash,549
507,New Hanover County Secure Landfill,NC,New Hanover,1219
508,Northampton County LF,NC,Northampton,143
509,Onslow County LF,NC,Onslow,726
510,Pasquotank County LF,NC,Pasquotank,235
511,Pitt County LF,NC,Pitt,737
512,Robeson County LF,NC,Robeson,638
513,Rockingham County LF,NC,Rockingham,674
514,"Sampson County Disposal, LLC",NC,Sampson,365
515,Scotland County LF,NC,Scotland,222
516,Stokes County LF,NC,Stokes,325
517,Surry County LF 1 & LF 3,NC,Surry,516
518,Swain County LF,NC,Swain,104
519,Transylvania County SLF,NC,Transylvania,261
520,Upper Piedmont Regional Landfill,NC,Person,253
521,Vance County LF,NC,Vance,266
522,Watauga County Landfill,NC,Watauga,250
523,Wilkes County LF 2,NC,Wilkes,414
524,Wilson County LF,NC,Wilson,464
525,Yancey/Mitchell County LF,NC,Yancey,130
526,City of Minot LF,ND,Ward,301
527,Dakota MSW Landfill,ND,Sargent,29
528,Grand Forks Active Landfill,ND,Grand Forks,299
529,Alliance Disposal Area LF,NE,Box Butte,64
530,Beatrice Disposal Area LF,NE,Gage,144
531,Bluff Road Landfill,NE,Lancaster,1369
532,Fremont Landfill,NE,Dodge,251
533,Holdrege Prairie Hill Landfill,NE,Phelps,59
534,J Bar J Landfill,NE,Perkins,17
535,Kearney Area Solid Waste Agency Landfill,NE,Buffalo,226
536,Lexington Area Solid Waste Agency Landfill,NE,Dawson,116
537,NNSWC LF,NE,Stanton,20
538,Otoe County LF,NE,Otoe,99
539,Sarpy County SLF,NE,Sarpy,771
540,Scottsbluff Disposal LF,NE,Scotts Bluff,207
541,York County LF,NE,York,83
542,City of Keene Landfill,NH,Cheshire,470
543,Colebrook Landfill,NH,Coos,238
544,Concord Suncook Road Landfill Pre-1981,NH,Merrimack,947
545,Durham Primary Landfill,NH,Strafford,703
546,Laconia Disposal Gardens,NH,Belknap,475
547,Lebanon Regional Solid Waste Facility,NH,Grafton,565
548,Atlantic County Utilities Authority Landfill,NJ,Atlantic,1699
549,Burlington County SLF,NJ,Burlington,2956
550,Cape May County MUA Secure Landfill,NJ,Cape May,881
551,Gloucester County Solid Waste Complex,NJ,Gloucester,1853
552,Kingsland Landfill,NJ,Bergen,5571
553,Monmouth County Reclamation Center,NJ,Monmouth,4160
554,Ocean County LF,NJ,Ocean,4511
555,Salem County SLF,NJ,Salem,462
556,Warren County District Landfill,NJ,Warren,706
557,Caja del Rio Landfill,NM,Santa Fe,705
558,Camino Real Landfill,NM,Dona Ana,921
559,Cerro Colorado LF,NM,Bernalillo,3018
560,Clovis Regional Solid Waste Facility,NM,Curry,173
561,Lea County Landfill,NM,Lea,233
562,Los Alamos County LF,NM,Los Alamos,100
563,Northeastern New Mexico Regional Landfill,NM,Mora,21
564,Otero/Greentree Regional Landfill,NM,Otero,325
565,Rio Rancho Landfill,NM,Sandoval,685
566,San Juan County Regional Landfill,NM,San Juan,461
567,Sand Point Landfill,NM,Eddy,245
568,Battle Mountain Sanitary Landfill,NV,Lander,18
570,City of Elko Municipal Landfill,NV,Elko,184
571,Ely Sanitary Landfill,NV,White Pine,44
572,Eureka Sanitary Landfill,NV,Eureka,6
573,Goldfield Sanitary Landfill,NV,Esmeralda,6
574,Hawthorne Sanitary Landfill,NV,Mineral,30
575,Lockwood Regional LF,NV,Storey,17
576,Pahrump Valley Sanitary Landfill,NV,Nye,341
577,Pershing County Sanitary Landfill,NV,Pershing,28
578,Russell Pass Sanitary Landfill,NV,Churchill,125
579,Albany Landfill,NY,Albany,1919
580,Auburn SLF #1 & #2,NY,Cayuga,547
581,Ava Landfill,NY,Oneida,1525
582,Bristol Hill SLF,NY,Oswego,776
583,Broome County Landfill,NY,Broome,1274
584,Chaffee LF,NY,Erie,6402
585,Chautauqua County Landfill,NY,Chautauqua,937
586,Chemung County Landfill,NY,Chemung,597
587,Chenango County Landfill,NY,Chenango,351
588,Clifton Park LF,NY,Saratoga,1514
589,Cortland County SLF,NY,Cortland,290
590,Croton Point Landfill,NY,Westchester,5771
591,Delaware County LF,NY,Delaware,334
592,Edgemere SLF,NY,Queens,11239
593,Haverstraw SLF,NY,Rockland,1794
594,Modern Landfill Inc,NY,Niagara,1579
595,Mohawk Valley SLF,NY,Herkimer,453
596,New Bath Landfill,NY,Steuben,637
597,Ontario County SLF,NY,Ontario,748
598,Seneca Meadows SWMF,NY,Seneca,236
599,Troy SLF,NY,Rensselaer,1025
600,American LF,OH,Stark,2285
601,Athens-Hocking Reclamation Center,OH,Athens,282
602,Carbon Limestone LF,OH,Mahoning,1433
603,Celina Landfill,OH,Mercer,238
604,City of Brooklyn LF,OH,Cuyahoga,7772
605,"Coshocton Landfill, Inc.",OH,Coshocton,232
606,County Environmental Landfill of Wyandot,OH,Wyandot,130
607,Defiance County Landfill,OH,Defiance,221
608,"East Liverpool LF, Inc.",OH,Columbiana,639
609,ELDA RDF,OH,Hamilton,4410
610,Evergreen Recycling & Disposal LF,OH,Wood,661
611,Gallia County LF,OH,Gallia,197
612,Geneva Landfill,OH,Ashtabula,591
613,Hancock County Sanitary LF,OH,Hancock,418
614,Hoffman Road Sanitary LF,OH,Lucas,2392
615,Kimble Sanitary LF,OH,Tuscarawas,555
616,Lake County Recycling and Disposal Facility,OH,Geauga,576
617,Lorain County Landfill I & II,OH,Lorain,1820
618,Muskingum,OH,Muskingum,551
619,Noble Road LF,OH,Richland,762
620,Preble County SLF,OH,Preble,267
621,Rumpke Brown County Landfill,OH,Brown,275
622,"Triangle Landfill, Inc.",OH,Ross,473
623,Williams County LF,OH,Williams,202
624,Willowcreek Landfill,OH,Portage,905
625,"Absolute Waste Solutions, Inc. Landfill",OK,Pottawatomie,375
626,Alderson Regional Landfill,OK,Pittsburg,252
